Código;Descripción;Stock Real; Precio 
FR-9881;9881 BUJE KIT PALANCA DE CAMBIOS TOYOTA CELICA, FORYUNER, HILUX, TACOMA MOD 95-04;1761;17350
FR-9430;9430 BUJE  MUÑECO RENAULT CLIO Y SYMBOL;1383;12550
MT-7011;7011 BUJE YAMAHA FZ 2,5, MT 15 Y R15 V3 Y V4;1;28100
FR-9413;9413 BUJE CAMPEROS GENERICO;0;16350
MT-7024;7024 BUJE SUZUKI GIXXER 250;48;61000
FR-9916;9916 BUJE DE AMORTIGUADOR PARA MERCEDES CON INTERNO;41;15900
FR-9420;9420 BUJE TOYOTA HILUX 2WD,4WD, RUNNER;64;15200
FR-9740;9740 BUJE SUPERIOR DE TIJERA DE LUV 2300;132;19200
FR-9411;9411 BUJE MAZDA B1600, B2000,B2200;0;14650
FR-9714;9714 BUJE SUAVIZADOR MEDIANO;1299;2000
FR-9707;9707 BUJE BALANCIN HYUNDAI CONTY ENSAMBLADO COMPLETO;7;14550
FR-9415;9415 BUJE TOYOTA LAND CRUISER 4,5L;0;15450
MT-7008;7008 BUJE  HONDA CB 160, 190 E INVICTA 150;428;29400
FR-9302;9302 BUJE PARA TORNILLO DE BARRA ESTABILIZADORA TIPO UNIVERSAL CON PESTAÑA;340;1450
FR-9779;9779 BUJE TIJERA SUPERIOR DMAX 4X2;0;40900
FR-9001;9001 BUJE CONICO TRAILER GRANDE;74;39450
FR-9826;9826 BUJE ESCOPETA DE TOYOTA BURBUJA 4,5 NISSAN PATROL;0;48350
FR-9416;9416 BUJE  CAMPERO GENERICO;0;21900
MT-7013;7013 BUJE SUZUKI GIXXER SF Y GSX 150R;0;21900
FR-9431;9431 BUJE TORNILLO BARRA ESTABILIZADORA TIPO UNIVERSAL MUÑECO NPR;0;32200
FR-9401;"9401 BUJE CHEVROLET LUV 1600; 2000; 2300";0;7100
BSL-002;BSL-002 BALANCIN VIGO ORIGINAL - SIN SISTEMA DE LUBRICACIÓN;0;76000
KIT-5002;KIT-5002 KIT BUJE SUPLEMENTO TOYOTA;0;58200
BSL-010;BSL-010 BALANCIN CHEVROLET LUV 2300 - 90mm - SIN SISTEMA DE  LUBRICACIÓN;0;64000
FR-9408;9408 BUJE OEM JI2134158/8AG1-34100 MAZDA 626;0;11650
BSL-014;BSL-014 BALANCIN MONTERO / H100 / STAREX / L200 / SPORTERO - SIN SISTEMA DE LUBRICACIÓN;0;54000
BSL-023;BSL-023 BALANCIN NKR Y NHR - SIN SISTEMA DE LUBRICACIÓN;0;72000
FR-9402;9402 BUJE  CHEVROLET LUV 1600;0;6650
FR-9410;9410 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA 323;0;17450
FR-9844;9844 BUJE CHERY VAN YOYO 2020 56 X 11, CHERY PRACTIVAN;0;11800
BSL-007;BSL-007 BALANCIN REVO LARGO - SIN SISTEMA DE LUBRICACIÓN;0;76400
FR-9404;9404 BUJE CHEVROLET SAMURAI;0;21550
FR-9414;9414 BUJE MITSUBISHI V6 3000;0;15550
FR-9883;9883 BUJE BARRA ESTABILIZADORA TOYOTA FJ CRUISER, DINA, FORD RANGER Y PRADO 150 Y TXL;0;11550
BSL-001;BSL-001 BALANCIN VIGO LARGO - SIN SISTEMA DE LUBRICACIÓN;0;79400
FR-9403;9403 BUJE CHEVROLET SAMURAI;0;19550
FR-9405;9405 BUJE  OEM GJ2134158/54718-43000 CHEVROLET MONZA;0;14100
FR-9406;9406 BUJE OEM 111072881 CHEVROLET CHEVETTE GENERICA;0;12800
FR-9407;9407 BUJE DAEWOO RACER ESPERO, CIELO;0;18000
FR-9418;9418 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA HYUNDAI;0;13550
FR-9422;9422 BUJE MUÑECO MITSUBISHI MONTERO;0;8550
KIT-01-5003;01-5003 BUJE SUPLEMENTO MAZDA BT-50, FORD RANGER;0;116400
KIT-02-5003;02-5003 BUJE SUPLEMENTO LUV DMAX 4X2;0;116400
KIT-03-5002;03-5002  BUJE SUPLEMENTO TOYOTA;0;116400
BSL-011;BSL-011 BALANCIN CHEVROLET LUV 2300 - 120mm - SIN SISTEMA DE LUBRICACIÓN;0;68700
BL-033;BL-033 KIT BALANCIN DOBLE FUNCIÓN TOYOTA REVO (IZQ Y DER CON BUJES);0;660000
FR-9306HD;9306HD BUJE MUELLE HOJA NKR CON BUJE INTERNO METALICO TRABAJO PESADO;0;10800
FR-9728;9728 BUJE NPR TAPAS;0;25000
FR-9739;9739 BUJE MUELLE ISUZO NHR/NKR TAPAS;0;16800
368150;368150  BUJE POLIURETANO CONICO AMORTIGUADOR 9840;0;650
FR-9753;9753 BUJE MUELLE MERCEDES BENZ ATEGO 1725 , 1016;0;24800
FR-9754;9754 BUJE MUELLE MERCEDES BENZ ATEGO LO 1726;0;16550
FR-9756;9756 BUJE PUNTA DE BARRA ESTABILIZADORA VOLSWAGEN CAMION 1800;0;20000
FR-9412;9412 BUJE  CAMPERO GENERICO;0;19200
FR-9417;9417 BUJE CAMPEROS GENERICO;0;24000
FR-9419;9419 BUJE TORNILLO ESTABILIZADOR 5 1/2 SEPARADOR 40MM 3/8;0;16450
FR-9421;9421 BUJE TORNILLO ESTABILIZADOR MAZDA 323 3/8*4 1/2 SEPARADOR DE 15 MM;0;12200
FR-CAR 001;BUJE CARCAZA PARA HOJA MUELLE NKR;0;4900
V;BUJE BARRA ESTABILIZADORA HINO SIN PESTAÑA;0;22100
MT-7001;7001 BUJE UM RENEGADE Y AKT SL 125;0;21900
FR-9814;9814 BUJE CHASIS Y BALANCIN LAND ROVER;0;9000
MT-7014;7014 BUJE YAMAHA XT 660;0;66500
FR-9836;9836 KIT BUJE MUELLE (REMPLAZO BUJE RB-410);0;16200
MT-7002-SP-A;7002-SP-A  BUJE KTM 200, 250, 390 NG Y CLASICA . DOMINAR 250 Y 400UG. SVARPILEN 200;0;30100
FR-9833;9833 BUJE BASE AMORTIGUADOR DELANTERO, RENAUL, LOGAN, DUSTER Y SANDERO;0;38550
CF-9838;BUJE MUELLE MITSUBISHI CANTER Y TOYOTA DYNA;0;7550
MT-7009-B;7009-B BUJE YAMAHA R15 SOLO FRENO DE DISCO;0;24400
MT-7013-B;7013-B BUJE SUZUKI GIXXER SF Y GSX 150R;0;21900
MG-10;MANGO PARA ESCOFINA CRISTALINO;0;18550
MT-7008-B;7008-B BUJE HONDA CB 160, 190 E INVICTA 150;0;29400
MT-7011-B;7011-B BUJE YAMAHA F 2.5;0;28100
MT-7015;7015 BUJE CAMPANA SUZUKI  V STROM;0;112800
FR-9450;9450 BUJE MAZDA B1600, B2000, B2200;0;14700
FR-9451;9451 BUJE CAMPERO GENERICO;0;19250
FR-9452;9452 BUJE CAMPEROS GENERICO;0;16350
FR-9453;9453 BUJE MITSUBISHI V6 3000;0;15600
FR-9454;9454 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA HYUNDAI;0;13600
FR-9847;9847 BUJE CONICO DE 14 ML;0;1900
FR-9845;9845 KIT BUJE BALANCIN LARGO TOYOTA HIACE;0;13450
FR-9856;9856 BUJE CONICO AMORTIGUADOR UNIVERSAL 368121;0;3200
FR-9455;9455 BUJE MUÑECO MITSUBISHI MONTERO;0;8000
FR-9456;9456 BUJE TOYOTA HILUX 2WD,4WD, RUNNER;0;15250
FR-9457;9457 BUJE CAMPERO GENERICO;0;21900
MT-7019;7019 BUJE YAMAHA R1 / MT09 / XRS900 / FZ09 / FJ09 / TRACER 900 KIT X 6;0;137600
MT-7002-SP-B;MT-7002-SP-B BUJE KTM 200,390 Y DOMINAR 400;0;25550
FR-9458;9458 BUJE CHEVROLET SAMURAI;0;19600
FR-9459;9459 BUJE CHEVROLET SAMURAI;0;21600
FR-9460;9460 BUJE OME GJ2134158/54718-43000 CHEVROLET MONZA;0;14100
FR-9461;9461 BUJE OEM 11072881 CHEVROLET CHEVETTE, GENERICA;0;12800
FR-9462;9462 BUJE OEM 11087522 DAEWOO RACER, ESPERO, CIELO;0;18000
FR-9463;9463 BUJE OEM JI2134158/8AG1-34100 MAZDA 626;0;11650
FR-9464;9464 BUJE TORNILLO BARRA ESTABILIZADORA MAZDA 323;0;17450
FR-9465;9465 BUJE TOYOTA LAND CRUISER 4,5L;0;15450
FR-9466;9466 BUJE CAMPEROS GENERICO;0;24000
FR-9467;9467 BUJE TORNILLO ESTABILIZADOR NISSAN DATSUN 1200;0;16450
FR-9468;9468 BUJE MUÑECO HYUNDAI ACCENT 5/16, 5 1/2;0;16000
BL-4001;4001 BALANCIN MUELLE 13CM (PASADORES LUBRICADOS) TOYOTA HILUX VIGO;0;150000
MT-7023;7023 BUJE CAMPANA CF MOTOS 400NK, 400GT, 650NK, 650GT Y 650MT;0;109900
KIT-04-5006;04-5006 KIT BUJE SUPLEMENTO 5006 NISSAN FRONTIER NP 300;0;116400
