Referencia,Buje,INT,Carcaza
FR-9007,Inyección,INT-9007,CAR9007
FR-9306HD,FR-9306,INT-9306,FR-CAR001
FR-9306HDR,CB9306HDR,INT-9306,FR-CAR001
FR-9313H,FR-9313,INT-9313,FR-CAR001
FR-9380,CB9380,INT-9380,CAR9380
FR-9706,FR-9306,INT-9306,FR-CAR001
FR-9707,FR-9310,INT-9310,FR-CAR001
FR-9712,FR-9309,INT-9309,-
FR-9721,FR-9303 / CB9721,INT-9721,CAR9380
FR-9735,CB9735,INT-9735,CAR9735
FR-9739,FR-9750,INT-9750,CAR9380
FR-9740,CB9740,INT-9740,CAR9740
FR-9760,CB9760,INT-9760,CAR9760
FR-9766,CB9766,INT-9766,CAR9766
FR-9779,CB9779,INT-9779,CAR9779
FR-9780,CB9780,INT-9780,CAR9780
FR-9782,CB9782,INT-9782,CAR9782
FR-9795,CB9795,INT-9795,-
FR-9796,CB9796,INT-9796,-
FR-9820,CB9820,INT-9820,CAR9740
FR-9821,CB9821,INT-9821,CAR9821
FR-9823,CB9823,INT-9823,-
FR-9824,CB9824,INT-9824,CAR9824-9826
FR-9826,CB9826,INT-9826,CAR9824-9826
FR-9830,CB9830,INT-9830,-
FR-9831,CB9831,INT-9831,-
FR-9837,CB9837,INT-9837,-
FR-9851,CB9851,INT-9851,-
FR-9858,CB9858,INT-9858,CAR9858
FR-9859,CB9859,INT-9859,CAR9859
FR-9861,CB9861,INT-9861,CAR9861
FR-9867,CB9867,INT-9867,CAR9867
FR-9873,CB9873,INT-9873,CAR9873
FR-9893,CB9893,INT-9893,-
FR-9908,CB9908,INT-9908,CAR9908
FR-9920,CB9920,INT-9920,-
FR-9923,CB9923,INT-9923,CAR9920
FR-9931,CB9931,INT-9931,CAR9923
FR-9933,CB9933,INT-9933,CAR9931
FR-9934,CB9934,INT-9934,-
FR-9935,CB9935,INT-9935,CAR9934
FR-9945,CB9945,INT-9945,-
FR-9946,CB9946,INT-9946,CAR9945
FR-9864,CB9760,CAR9760,
FR-9867,CB9867,CAR9867,
FR-9873,CB9873,CAR9873,
FR-9893,CB9893,-,
FR-9896,Inyección,-,
FR-9903,Inyección,CAR9896,
FR-9904,Inyección,CAR9904,
FR-9908,CB9908,CAR9908,
FR-9916,FR-9631,-,
FR-9920,CB9920,-,
FR-9923,CB9923,CAR9920,
FR-9931,CB9931,CAR9923,
FR-9933,CB9933,CAR9931,
FR-9934,CB9934,-,
FR-9935,CB9935,CAR9934,
FR-9945,CB9945,-,
FR-9946,CB9946,CAR9945,
