Excel Name,System Code,Confidence
368120 368120 BUJE POLIURETANO DE CARRETA AMORTIGU,NOT FOUND,0.0
368121 368121 BUJE POLIURETANO DE CARRETA UNIVERSA,NOT FOUND,0.0
368150 368150  BUJE POLIURETANO CONICO AMORTIGUADO,NOT FOUND,0.0
"AL-001 AL-001 ALARGADOR AMORTIGUADOR M10 X 1,25",NOT FOUND,0.0
"AL-002 AL-002 ALARGADOR AMORTIGUADOR M10 X 1,5",NOT FOUND,0.0
AL-003 AL-003 ALARGADOR AMORTIGUADOR M10 X 1.25 AL,NOT FOUND,0.0
AL-004 AL-004 ALARGADOR AMORTIGUADOR M10 X 1.25 AL,NOT FOUND,0.0
BF-9735 BUJE TIJERA MAZDA BT-50,NOT FOUND,0.0
BL-033 BL-033 KIT BALANCIN DOBLE FUNCIÓN TOYOTA RE,NOT FOUND,0.0
BLA-001 BLA-001 BALANCIN VIGO LARGO CON BUJES,NOT FOUND,0.0
BLA-002 BLA-002 BALANCIN VIGO CORTO CON BUJES,NOT FOUND,0.0
BLA-003 BLA-003 BALANCIN NISSAN D-21 70mm,NOT FOUND,0.0
BLA-004 BLA-004 BALANCIN NISSAN D-21 95mm,NOT FOUND,0.0
BLA-005 BLA-005 BALANCIN MAZDA B2000 SEMILARGO,NOT FOUND,0.0
BLA-006 BLA-006 BALANCIN REVO CORTO,NOT FOUND,0.0
BLA-007 BLA-007 BALANCIN REVO LARGO CON BUJES,NOT FOUND,0.0
"BLA-008 BLA-008  BALANCIN TOYOTA 4,5 85mm",NOT FOUND,0.0
BLA-009 BLA-009 BALANCIN MAZDA B2000,NOT FOUND,0.0
BLA-010 BLA-010 BALANCIN CHEVROLET LUV 2300 90 mm,NOT FOUND,0.0
BLA-011 BLA-011 BALANCIN CHEVROLET LUV 2300 120mm,NOT FOUND,0.0
BSLA-001 BSLA-001 BALANCIN,NOT FOUND,0.0
BSLA-002 BSLA-002 BALANCIN,NOT FOUND,0.0
BSLA-003 BSLA-003 BALANCIN NISSAN D21-70 mm -SIN S,NOT FOUND,0.0
BSLA-004 BSLA-004 BALANCIN,NOT FOUND,0.0
BSLA-005 BSLA-005 BALANCIN  MAZDA B2000 SEMILARGO,NOT FOUND,0.0
BSLA-006 BSLA-006 BALANCIN,NOT FOUND,0.0
BSLA-007 BSLA-007 BALANCIN,NOT FOUND,0.0
BSLA-008 BSLA-008 BALANCIN,NOT FOUND,0.0
BSLA-009 BSLA-009 BALANCIN MAZDA B2000 (6040) - SI,NOT FOUND,0.0
BSLA-010 BSLA-010 BALANCIN,NOT FOUND,0.0
BSLA-011 BSLA-011  BALANCIN,NOT FOUND,0.0
BSLA-012 BSLA-012 BALANCIN NISSAN FRONTIER - SIN S,NOT FOUND,0.0
BSLA-013 BSLA-013 BALANCIN KIA PREGIO/ H1 /GRAND S,NOT FOUND,0.0
BSLA-014 BSLA-014 BALANCIN,NOT FOUND,0.0
BSLA-015 BSLA-015 BALANCIN,NOT FOUND,0.0
BSLA-016 BSLA-016 BALANCIN WULING / N200 / DFM,NOT FOUND,0.0
BSLA-017 BSLA-017 BALANCIN SUZUKI / HAFEI / DAMAS ,NOT FOUND,0.0
BSLA-018 BSLA-018 BALANCIN,NOT FOUND,0.0
BSLA-019 BSLA-019 BALANCIN,NOT FOUND,0.0
BSLA-020 BSLA-020 BALANCIN,NOT FOUND,0.0
"BSLA-021 BSLA-021 BALANCIN  BALANCIN TOYOTA 4,5 11",NOT FOUND,0.0
"BSLA-022 BSLA-022 BALANCIN TOYOTA 4,5 140mm",NOT FOUND,0.0
BSLA-023 BSLA-023 BALANCIN,NOT FOUND,0.0
BSLA-024 BSLA-024 BALANCIN,NOT FOUND,0.0
"BSLA-026 BSLA-026 BALANCIN TOYOTA 4,5 DE 140mm (ME",NOT FOUND,0.0
BSLA-027 BSLA-027 BALANCIN,NOT FOUND,0.0
BSLA-028 BSLA-028 BALANCIN DAIHATSU F20,NOT FOUND,0.0
BSLA-029 BSLA-029 BALANCIN CHEVROLET N300,NOT FOUND,0.0
BSLA-031 BSLA-031  BALANCIN SUZUKI / HAFEI / DAMAS,NOT FOUND,0.0
BSLA-032 BSLA-032 BALANCIN SUZUKI / HAFEI / DAMAS ,NOT FOUND,0.0
BSLA-036 BSLA-036 BALANCIN,NOT FOUND,0.0
BSLA-040 BSLA-040 BALANCIN SUZUKI 120 mm (MEDIA LU,NOT FOUND,0.0
BSLA-041 BSLA-041 BALANCIN CHEVROLET LUV 2300 - 12,NOT FOUND,0.0
BSLA-042 BSLA-042 BALANCIN CHEVROLET LUV 2300 - 14,NOT FOUND,0.0
BSLA-043 BSLA-043 BALANCIN NISSAN FRONTIER120mm (M,NOT FOUND,0.0
BSLA-044 BSLA-044 BALANCIN,NOT FOUND,0.0
BSLA-045 BSLA-045 BALANCIN,NOT FOUND,0.0
BSLA-047 BSLA-047 BALANCIN MONTERO / H100 / STAREX,NOT FOUND,0.0
CAR9380-9721-9739-9920 CARCAZA EXTERIOR NPR 40MM,9380,0.8
CAR9609 BUJE EXTERNO RB 410,NOT FOUND,0.0
CAR9722-9723 CARCAZA EXTERNA 413-440,NOT FOUND,0.0
CAR9740 CARCAZA TIJERA DE LUV 9740,NOT FOUND,0.0
CAR9760 CARCAZA ENSAMBLE 9760,NOT FOUND,0.0
CAR9780 CARCAZA PARA ENSAMBLE 9780,NOT FOUND,0.0
CAR9858 CARCAZA PARA ENSAMBLE 9858 EXT 35,NOT FOUND,0.0
CAR9859 CARCAZA PARA ENSAMBLE 9859,NOT FOUND,0.0
CAR9920 CARCAZA PARA ENSAMBLE 9920,NOT FOUND,0.0
CB9306HDR BUJE POLIURETANO PARA ENSAMBLE 9306HDR,9306HDR,0.8
CB9380 BUJE POLIRETANO PARA ENSAMBLE 9380,NOT FOUND,0.0
CB9721 BUJE PARA ENSAMBLE 9721,NOT FOUND,0.0
CB9727 BUJE PARA ENSAMBLE 9727,NOT FOUND,0.0
CB9735 BUJE POLIURETANO PARA ENSAMBLE BT-50 9735,NOT FOUND,0.0
CB9740 BUJE POLIURETANO PARA ENSAMBLE 9740,NOT FOUND,0.0
CB9760 BUJE POLIURETANO PARA ENSAMBLE 9760,NOT FOUND,0.0
CB9766 BUJE POLIURETANO PARA ENSAMBLE 9766,NOT FOUND,0.0
