Nombre_Nuevo_Excel,Mejor_Coincidencia_Sistema_Actual,Nivel_de_Confianza_Porcentaje,Sheet_Origen
368120 368120 BUJE POLIURETANO DE CARRETA AMORTIGUADOR,INY-3603DDEB,30,INYECCION
368121 368121 BUJE POLIURETANO DE CARRETA UNIVERSAL,INY-16E7EADE,32,INYECCION
368150 368150  BUJE POLIURETANO CONICO AMORTIGUADOR 9840,INY-33A6804D,30,INYECCION
"AL-001 AL-001 ALARGADOR AMORTIGUADOR M10 X 1,25",INY-05001208,24,INYECCION
"AL-002 AL-002 ALARGADOR AMORTIGUADOR M10 X 1,5",02021d8a,26,INYECCION
AL-003 AL-003 ALARGADOR AMORTIGUADOR M10 X 1.25 ALTURA 58mm,INY-0433195D,23,INYECCION
AL-004 AL-004 ALARGADOR AMORTIGUADOR M10 X 1.25 ALTURA 44mm,405aaadf,21,INYECCION
BF-9735 BUJE TIJERA MAZDA BT-50,INY-505F9EA8,37,INYECCION
BL-033 BL-033 KIT BALANCIN DOBLE FUNCIÓN TOYOTA REVO (IZQ Y DER CON BUJES),INY-3603DDEB,24,INYECCION
BLA-001 BLA-001 BALANCIN VIGO LARGO CON BUJES,INY-9BBB3ACC,25,INYECCION
BLA-002 BLA-002 BALANCIN VIGO CORTO CON BUJES,INY-9BBB3ACC,28,INYECCION
BLA-003 BLA-003 BALANCIN NISSAN D-21 70mm,INY-0433195D,30,INYECCION
BLA-004 BLA-004 BALANCIN NISSAN D-21 95mm,INY-0433195D,34,INYECCION
BLA-005 BLA-005 BALANCIN MAZDA B2000 SEMILARGO,INY-05001208,31,INYECCION
BLA-006 BLA-006 BALANCIN REVO CORTO,INY-F006ACE4,30,INYECCION
BLA-007 BLA-007 BALANCIN REVO LARGO CON BUJES,INY-F006ACE4,25,INYECCION
"BLA-008 BLA-008  BALANCIN TOYOTA 4,5 85mm",INY-4500E455,35,INYECCION
BLA-009 BLA-009 BALANCIN MAZDA B2000,INY-05001208,33,INYECCION
BLA-010 BLA-010 BALANCIN CHEVROLET LUV 2300 90 mm,INY-05001208,30,INYECCION
BLA-011 BLA-011 BALANCIN CHEVROLET LUV 2300 120mm,INY-115C4020,26,INYECCION
BSLA-001 BSLA-001 BALANCIN,INY-05001208,37,INYECCION
BSLA-002 BSLA-002 BALANCIN,00d2acbb,41,INYECCION
BSLA-003 BSLA-003 BALANCIN NISSAN D21-70 mm -SIN SISTEMA DE LUBRICACIÓN,INY-3603DDEB,25,INYECCION
BSLA-004 BSLA-004 BALANCIN,INY-4500E455,37,INYECCION
BSLA-005 BSLA-005 BALANCIN  MAZDA B2000 SEMILARGO,INY-05001208,30,INYECCION
BSLA-006 BSLA-006 BALANCIN,INY-F006ACE4,37,INYECCION
BSLA-007 BSLA-007 BALANCIN,INY-7071B7C1,37,INYECCION
BSLA-008 BSLA-008 BALANCIN,INY-05001208,42,INYECCION
BSLA-009 BSLA-009 BALANCIN MAZDA B2000 (6040) - SIN SISTEMA DE LUBRICACIÓN,INY-9BBB3ACC,25,INYECCION
BSLA-010 BSLA-010 BALANCIN,INY-05001208,42,INYECCION
BSLA-011 BSLA-011  BALANCIN,INY-1D01A01E,37,INYECCION
BSLA-012 BSLA-012 BALANCIN NISSAN FRONTIER - SIN SISTEMA DE LUBRICACIÓN,INY-120DE7AA,25,INYECCION
BSLA-013 BSLA-013 BALANCIN KIA PREGIO/ H1 /GRAND STAREX,FR-9303 / CB9721,27,FICHAS_INT_CAR
BSLA-014 BSLA-014 BALANCIN,INY-1457016F,37,INYECCION
BSLA-015 BSLA-015 BALANCIN,INY-1457016F,37,INYECCION
BSLA-016 BSLA-016 BALANCIN WULING / N200 / DFM,INY-CAF2E500,33,INYECCION
BSLA-017 BSLA-017 BALANCIN SUZUKI / HAFEI / DAMAS / CARRY,INY-1457016F,25,INYECCION
BSLA-018 BSLA-018 BALANCIN,INY-0E18A1A2,37,INYECCION
BSLA-019 BSLA-019 BALANCIN,INY-0515F19B,37,INYECCION
BSLA-020 BSLA-020 BALANCIN,INY-05001208,42,INYECCION
"BSLA-021 BSLA-021 BALANCIN  BALANCIN TOYOTA 4,5 110mm - SIN SISTEMA DE LUBRICACIÓN",INY-9BBB3ACC,22,INYECCION
"BSLA-022 BSLA-022 BALANCIN TOYOTA 4,5 140mm",INY-96021459,33,INYECCION
BSLA-023 BSLA-023 BALANCIN,INY-D03023ED,42,INYECCION
BSLA-024 BSLA-024 BALANCIN,00d2acbb,41,INYECCION
"BSLA-026 BSLA-026 BALANCIN TOYOTA 4,5 DE 140mm (MEDIA LUNA)",INY-96021459,29,INYECCION
BSLA-027 BSLA-027 BALANCIN,270bab3b,41,INYECCION
BSLA-028 BSLA-028 BALANCIN DAIHATSU F20,88bc1adf,30,INYECCION
BSLA-029 BSLA-029 BALANCIN CHEVROLET N300,INY-9BBB3ACC,30,INYECCION
BSLA-031 BSLA-031  BALANCIN SUZUKI / HAFEI / DAMAS / CARRY LARGO,FR-9303 / CB9721,25,FICHAS_INT_CAR
